year,variable,material,application,level,value
2035,Mechanical recycling,PS,Film,Central,0.11003378980632644
2036,Mechanical recycling,PS,Film,Central,0.05130501503783659
2037,Mechanical recycling,PS,Film,Central,0.023921784141631916
2038,Mechanical recycling,PS,Film,Central,0.011153914604582147
2039,Mechanical recycling,PS,Film,Central,0.0052006911470200996
2040,Mechanical recycling,PS,Film,Central,0.002424905458356474
2041,Mechanical recycling,PS,Film,Central,0.0011306509684460395
2042,Mechanical recycling,PS,Film,Central,0.0005271841044534611
2014,littering,PP,Other,Central,2975.116
2015,littering,PP,Other,Central,2957.2653040000005
2016,littering,PP,Other,Central,2957.376583441304
2017,littering,PP,Other,Central,3010.924103699352
2018,littering,PP,Other,Central,3010.6028185778046
2019,littering,PP,Other,Central,3010.604746288534
2020,littering,PP,Other,Central,3213.955312722269
2021,littering,PP,Other,Central,3438.0589253236667
2022,littering,PP,Other,Central,4002.444698448058
2023,littering,PP,Other,Central,4599.053739809312
2024,littering,PP,Other,Central,2086.869877561144
2025,littering,PP,Other,Central,2278.719401134633
2026,littering,PP,Other,Central,2291.499299593192
2027,littering,PP,Other,Central,2302.7583290024413
2028,littering,PP,Other,Central,2311.3918192259853
2029,littering,PP,Other,Central,2317.349529084644
2030,littering,PP,Other,Central,2322.9646964254925
2031,littering,PP,Other,Central,2328.221543821447
2032,littering,PP,Other,Central,2333.1260227370713
2033,littering,PP,Other,Central,2337.6905110635776
2034,littering,PP,Other,Central,2341.919334533619
2035,littering,PP,Other,Central,2345.824565992799
2036,littering,PP,Other,Central,2349.4280154040434
2037,littering,PP,Other,Central,2352.7907107075757
2038,littering,PP,Other,Central,2355.9770561357545
2039,littering,PP,Other,Central,2359.0136352631857
2040,littering,PP,Other,Central,2361.9188777884206
2041,littering,PP,Other,Central,2364.70346953327
2042,littering,PP,Other,Central,2367.3547999828
2014,littering,PS,Other,Central,150.6388
2015,littering,PS,Other,Central,149.73501368
2016,littering,PS,Other,Central,152.45203653293365
2017,littering,PS,Other,Central,152.4355846608024
2018,littering,PS,Other,Central,152.4356833720352
2019,littering,PS,Other,Central,121.0483648197678
2020,littering,PS,Other,Central,85.70727625108138
2021,littering,PS,Other,Central,198.42892918249353
2022,littering,PS,Other,Central,316.078827064905
2023,littering,PS,Other,Central,559.0838250376105
2024,littering,PS,Other,Central,604.5256618497743
2025,littering,PS,Other,Central,607.9489888289014
2026,littering,PS,Other,Central,610.9358820670267
2027,littering,PS,Other,Central,613.2264011075979
2028,littering,PS,Other,Central,614.8070179933544
2029,littering,PS,Other,Central,616.2967562920398
2030,littering,PS,Other,Central,617.6914298622478
2031,littering,PS,Other,Central,618.9926182208267
2032,littering,PS,Other,Central,620.2036050906751
2033,littering,PS,Other,Central,621.3255375694561
2034,littering,PS,Other,Central,622.3616195745834
2035,littering,PS,Other,Central,623.3176366825525
2036,littering,PS,Other,Central,624.2097805799048
2037,littering,PS,Other,Central,625.0551373165207
2038,littering,PS,Other,Central,625.860760376101
2039,littering,PS,Other,Central,626.6315390377433
2040,littering,PS,Other,Central,627.3703083657736
2041,littering,PS,Other,Central,628.0737225498053
2042,littering,PS,Other,Central,628.7377996647012
2014,littering,PVC,Other,Central,112.9792
2015,littering,PVC,Other,Central,112.30125968
2016,littering,PVC,Other,Central,114.33902738317965
2017,littering,PVC,Other,Central,114.32668847570095
2018,littering,PVC,Other,Central,114.32676250914581
2019,littering,PVC,Other,Central,80.62269202494512
2020,littering,PVC,Other,Central,42.73304704785034
2021,littering,PVC,Other,Central,88.1627896377129
2022,littering,PVC,Other,Central,135.44362354217373
2023,littering,PVC,Other,Central,42.33966885874694
2024,littering,PVC,Other,Central,46.505974666847514
2025,littering,PVC,Other,Central,46.76528283199891
2026,littering,PVC,Other,Central,46.995067983008006
2027,littering,PVC,Other,Central,47.171261632101945
2028,littering,PVC,Other,Central,47.29284755020739
2029,littering,PVC,Other,Central,47.407442794698774
2030,littering,PVC,Other,Central,47.51472538323182
2031,littering,PVC,Other,Central,47.61481680770062
2032,littering,PVC,Other,Central,47.70796961915379
2033,littering,PVC,Other,Central,47.79427214228508
2034,littering,PVC,Other,Central,47.873970727146286
2035,littering,PVC,Other,Central,47.94751053563712
2036,littering,PVC,Other,Central,48.01613693678619
2037,littering,PVC,Other,Central,48.081164418379274
2038,littering,PVC,Other,Central,48.143135413489716
2039,littering,PVC,Other,Central,48.20242606751906
2040,littering,PVC,Other,Central,48.25925448359489
2041,littering,PVC,Other,Central,48.31336327309843
2042,littering,PVC,Other,Central,48.36444610036139
2014,Mechanical recycling,PVC,Bottle,Central,0.0
2015,Mechanical recycling,PVC,Bottle,Central,0.0
2016,Mechanical recycling,PVC,Bottle,Central,0.0
2017,Mechanical recycling,PVC,Bottle,Central,0.0
2018,Mechanical recycling,PVC,Bottle,Central,0.0
2019,Mechanical recycling,PVC,Bottle,Central,0.0
2020,Mechanical recycling,PVC,Bottle,Central,0.0
2021,Mechanical recycling,PVC,Bottle,Central,0.0
2022,Mechanical recycling,PVC,Bottle,Central,0.0
2023,Mechanical recycling,PVC,Bottle,Central,164.19171012939637
2024,Mechanical recycling,PVC,Bottle,Central,285.42483233150386
2025,Mechanical recycling,PVC,Bottle,Central,1.8552260187580032
2026,Mechanical recycling,PVC,Bottle,Central,0.011131356112548119
2027,Mechanical recycling,PVC,Bottle,Central,6.678813667528906e-05
2028,Mechanical recycling,PVC,Bottle,Central,4.007288200517234e-07
2029,Mechanical recycling,PVC,Bottle,Central,2.404372920310402e-09
2030,Mechanical recycling,PVC,Bottle,Central,1.442623752186255e-11
2031,Mechanical recycling,PVC,Bottle,Central,8.655742513117489e-14
2032,Mechanical recycling,PVC,Bottle,Central,5.193445507870499e-16
2033,Mechanical recycling,PVC,Bottle,Central,3.1160673047222727e-18
2034,Mechanical recycling,PVC,Bottle,Central,1.8696403828333393e-20
2035,Mechanical recycling,PVC,Bottle,Central,1.1217842297000476e-22
2036,Mechanical recycling,PVC,Bottle,Central,6.730705378200158e-25
2037,Mechanical recycling,PVC,Bottle,Central,4.038423226920219e-27
2038,Mechanical recycling,PVC,Bottle,Central,2.42305393615207e-29
2039,Mechanical recycling,PVC,Bottle,Central,1.4538323616912688e-31
2040,Mechanical recycling,PVC,Bottle,Central,8.722994170147328e-34
2041,Mechanical recycling,PVC,Bottle,Central,5.233796502088606e-36
2042,Mechanical recycling,PVC,Bottle,Central,3.140277901253108e-38
2014,Mechanical recycling,PP,Other,Central,11290.0
2015,Mechanical recycling,PP,Other,Central,11290.854861
2016,Mechanical recycling,PP,Other,Central,10708.864256221237
2017,Mechanical recycling,PP,Other,Central,9845.367038658265
2018,Mechanical recycling,PP,Other,Central,11751.737576006753
2019,Mechanical recycling,PP,Other,Central,12973.898339550286
2020,Mechanical recycling,PP,Other,Central,13406.326698701841
2021,Mechanical recycling,PP,Other,Central,12571.074545873218
2022,Mechanical recycling,PP,Other,Central,21349.59778800089
2023,Mechanical recycling,PP,Other,Central,22497.431354283468
2024,Mechanical recycling,PP,Other,Central,20294.610510486888
2025,Mechanical recycling,PP,Other,Central,23518.11851528874
2026,Mechanical recycling,PP,Other,Central,27366.353522029603
2027,Mechanical recycling,PP,Other,Central,31447.669448922916
2028,Mechanical recycling,PP,Other,Central,14383.896090977436
2029,Mechanical recycling,PP,Other,Central,15586.503435619641
2030,Mechanical recycling,PP,Other,Central,15680.64991581575
2031,Mechanical recycling,PP,Other,Central,15757.800445491612
2032,Mechanical recycling,PP,Other,Central,15816.989677855412
2033,Mechanical recycling,PP,Other,Central,15857.87007259357
2034,Mechanical recycling,PP,Other,Central,15896.31058738289
2035,Mechanical recycling,PP,Other,Central,15932.299115482276
2036,Mechanical recycling,PP,Other,Central,15965.876067029176
2037,Mechanical recycling,PP,Other,Central,15997.12588080538
2038,Mechanical recycling,PP,Other,Central,16026.07848774281
2039,Mechanical recycling,PP,Other,Central,16052.816188780853
2040,Mechanical recycling,PP,Other,Central,16077.487832449497
2041,Mechanical recycling,PP,Other,Central,16100.50943328147
2042,Mechanical recycling,PP,Other,Central,16122.321574864185
2014,Mechanical recycling,PP,PTT,Central,23320.0
2015,Mechanical recycling,PP,PTT,Central,23320.91502
2016,Mechanical recycling,PP,PTT,Central,21927.277365225185
2017,Mechanical recycling,PP,PTT,Central,20189.412823820534
2018,Mechanical recycling,PP,PTT,Central,24098.537297770767
2019,Mechanical recycling,PP,PTT,Central,26604.743116831552
2020,Mechanical recycling,PP,PTT,Central,27491.454757669777
2021,Mechanical recycling,PP,PTT,Central,25778.6591997384
2022,Mechanical recycling,PP,PTT,Central,43780.18787420503
2023,Mechanical recycling,PP,PTT,Central,46133.97316230113
2024,Mechanical recycling,PP,PTT,Central,41355.06420144883
2025,Mechanical recycling,PP,PTT,Central,47624.20899922054
2026,Mechanical recycling,PP,PTT,Central,48868.68789172763
2027,Mechanical recycling,PP,PTT,Central,50254.97053119157
2028,Mechanical recycling,PP,PTT,Central,55772.23011600469
2029,Mechanical recycling,PP,PTT,Central,60434.881658485065
2030,Mechanical recycling,PP,PTT,Central,60802.52000865453
2031,Mechanical recycling,PP,PTT,Central,61101.675096682426
2032,Mechanical recycling,PP,PTT,Central,61331.18446070879
2033,Mechanical recycling,PP,PTT,Central,61489.70027204194
2034,Mechanical recycling,PP,PTT,Central,61638.75534438422
2035,Mechanical recycling,PP,PTT,Central,61778.30269435186
2036,Mechanical recycling,PP,PTT,Central,61908.49902764557
2037,Mechanical recycling,PP,PTT,Central,62029.67179826259
2038,Mechanical recycling,PP,PTT,Central,62141.937002172606
2039,Mechanical recycling,PP,PTT,Central,62245.61378101632
2040,Mechanical recycling,PP,PTT,Central,62341.279342540794
2041,Mechanical recycling,PP,PTT,Central,62430.54678821943
2042,Mechanical recycling,PP,PTT,Central,62515.12448617903
2014,Mechanical recycling,PS,Bottle,Central,0.0
2015,Mechanical recycling,PS,Bottle,Central,0.0
2016,Mechanical recycling,PS,Bottle,Central,0.0
2017,Mechanical recycling,PS,Bottle,Central,0.0
2018,Mechanical recycling,PS,Bottle,Central,0.0
2019,Mechanical recycling,PS,Bottle,Central,0.0
2020,Mechanical recycling,PS,Bottle,Central,0.0
2021,Mechanical recycling,PS,Bottle,Central,0.0
2022,Mechanical recycling,PS,Bottle,Central,0.0
2023,Mechanical recycling,PS,Bottle,Central,0.0
2024,Mechanical recycling,PS,Bottle,Central,0.0
2025,Mechanical recycling,PS,Bottle,Central,0.0
2026,Mechanical recycling,PS,Bottle,Central,0.0
2027,Mechanical recycling,PS,Bottle,Central,0.0
2028,Mechanical recycling,PS,Bottle,Central,0.0
2029,Mechanical recycling,PS,Bottle,Central,0.0
2030,Mechanical recycling,PS,Bottle,Central,0.0
2031,Mechanical recycling,PS,Bottle,Central,0.0
2032,Mechanical recycling,PS,Bottle,Central,0.0
2033,Mechanical recycling,PS,Bottle,Central,0.0
2034,Mechanical recycling,PS,Bottle,Central,0.0
2035,Mechanical recycling,PS,Bottle,Central,0.0
2036,Mechanical recycling,PS,Bottle,Central,0.0
2037,Mechanical recycling,PS,Bottle,Central,0.0
2038,Mechanical recycling,PS,Bottle,Central,0.0
2039,Mechanical recycling,PS,Bottle,Central,0.0
2040,Mechanical recycling,PS,Bottle,Central,0.0
2041,Mechanical recycling,PS,Bottle,Central,0.0
2042,Mechanical recycling,PS,Bottle,Central,0.0
2014,Mechanical recycling,PS,Other,Central,1364.0
2015,Mechanical recycling,PS,Other,Central,1364.982021
2016,Mechanical recycling,PS,Other,Central,1294.7859210504012
2017,Mechanical recycling,PS,Other,Central,505.65627784049684
2018,Mechanical recycling,PS,Other,Central,591.5264063192162
2019,Mechanical recycling,PS,Other,Central,668.7318776725222
2020,Mechanical recycling,PS,Other,Central,691.0182865642737
2021,Mechanical recycling,PS,Other,Central,636.5105088369484
2022,Mechanical recycling,PS,Other,Central,859.7462692561409
2023,Mechanical recycling,PS,Other,Central,642.0604748560219
2024,Mechanical recycling,PS,Other,Central,1249.1966116468006
2025,Mechanical recycling,PS,Other,Central,2158.136457576553
2026,Mechanical recycling,PS,Other,Central,3815.9230390729745
2027,Mechanical recycling,PS,Other,Central,4134.972126009917
2028,Mechanical recycling,PS,Other,Central,4160.172417490039
2029,Mechanical recycling,PS,Other,Central,4180.6409267244235
2030,Mechanical recycling,PS,Other,Central,4196.344200802304
2031,Mechanical recycling,PS,Other,Central,4207.1900197589885
2032,Mechanical recycling,PS,Other,Central,4217.388523849568
2033,Mechanical recycling,PS,Other,Central,4226.936499137484
2034,Mechanical recycling,PS,Other,Central,4235.8446704558055
2035,Mechanical recycling,PS,Other,Central,4244.13543854205
2036,Mechanical recycling,PS,Other,Central,4251.816740535482
2037,Mechanical recycling,PS,Other,Central,4258.910417598267
2038,Mechanical recycling,PS,Other,Central,4265.455955159092
2039,Mechanical recycling,PS,Other,Central,4271.563728474269
2040,Mechanical recycling,PS,Other,Central,4277.350621736148
2041,Mechanical recycling,PS,Other,Central,4282.865315131539
2042,Mechanical recycling,PS,Other,Central,4288.141358370441
2014,Mechanical recycling,PS,PTT,Central,8024.0
2015,Mechanical recycling,PS,PTT,Central,8134.050366
2016,Mechanical recycling,PS,PTT,Central,7715.142095615798
2017,Mechanical recycling,PS,PTT,Central,7231.530128491845
2018,Mechanical recycling,PS,PTT,Central,8580.24531486728
2019,Mechanical recycling,PS,PTT,Central,9529.078193829098
2020,Mechanical recycling,PS,PTT,Central,9892.13622710196
2021,Mechanical recycling,PS,PTT,Central,9148.037495513658
2022,Mechanical recycling,PS,PTT,Central,13244.271483755245
2023,Mechanical recycling,PS,PTT,Central,11446.553507343067
2024,Mechanical recycling,PS,PTT,Central,9212.454287675708
2025,Mechanical recycling,PS,PTT,Central,10814.339282376604
2026,Mechanical recycling,PS,PTT,Central,10880.091658196756
2027,Mechanical recycling,PS,PTT,Central,10933.594639091529
2028,Mechanical recycling,PS,PTT,Central,10974.662365728645
2029,Mechanical recycling,PS,PTT,Central,11003.02642783612
2030,Mechanical recycling,PS,PTT,Central,11029.697958964423
2031,Mechanical recycling,PS,PTT,Central,11054.66857069737
2032,Mechanical recycling,PS,PTT,Central,11077.965901546675
2033,Mechanical recycling,PS,PTT,Central,11099.64854798689
2034,Mechanical recycling,PS,PTT,Central,11119.737272912576
2035,Mechanical recycling,PS,PTT,Central,11138.289181766151
2036,Mechanical recycling,PS,PTT,Central,11155.407558452409
2037,Mechanical recycling,PS,PTT,Central,11171.381064615929
2038,Mechanical recycling,PS,PTT,Central,11186.515402657245
2039,Mechanical recycling,PS,PTT,Central,11200.937870805279
2040,Mechanical recycling,PS,PTT,Central,11214.736208682747
2041,Mechanical recycling,PS,PTT,Central,11227.961369864071
2042,Mechanical recycling,PS,PTT,Central,11240.554142959993
2014,Mechanical recycling,PVC,Film,Central,1283.0
2015,Mechanical recycling,PVC,Film,Central,1284.011469
2016,Mechanical recycling,PVC,Film,Central,1218.0813081762562
2017,Mechanical recycling,PVC,Film,Central,1128.3619675847222
2018,Mechanical recycling,PVC,Film,Central,1362.806988805891
2019,Mechanical recycling,PVC,Film,Central,1513.6723586830585
2020,Mechanical recycling,PVC,Film,Central,1564.1208782201736
2021,Mechanical recycling,PVC,Film,Central,1021.0705693834448
2022,Mechanical recycling,PVC,Film,Central,924.2995933321337
2023,Mechanical recycling,PVC,Film,Central,826.8043293729007
2024,Mechanical recycling,PVC,Film,Central,573.3770561275696
2025,Mechanical recycling,PVC,Film,Central,2351.9572349798746
2026,Mechanical recycling,PVC,Film,Central,2558.6621631287167
2027,Mechanical recycling,PVC,Film,Central,2575.3735393892325
2028,Mechanical recycling,PVC,Film,Central,2588.062744600005
2029,Mechanical recycling,PVC,Film,Central,2597.80187436613
2030,Mechanical recycling,PVC,Film,Central,2604.5342059831505
2031,Mechanical recycling,PVC,Film,Central,2610.8502543719887
2032,Mechanical recycling,PVC,Film,Central,2616.7635886371067
2033,Mechanical recycling,PVC,Film,Central,2622.2807935964315
2034,Mechanical recycling,PVC,Film,Central,2627.415695908566
2035,Mechanical recycling,PVC,Film,Central,2632.1732643845644
2036,Mechanical recycling,PVC,Film,Central,2636.56696472376
2037,Mechanical recycling,PVC,Film,Central,2640.6211801837126
2038,Mechanical recycling,PVC,Film,Central,2644.4039773869076
2039,Mechanical recycling,PVC,Film,Central,2647.9876950617863
2040,Mechanical recycling,PVC,Film,Central,2651.402719301025
2041,Mechanical recycling,PVC,Film,Central,2654.6698769582636
2042,Mechanical recycling,PVC,Film,Central,2657.8012827431726
2014,Mechanical recycling,PVC,Other,Central,427.0
2015,Mechanical recycling,PVC,Other,Central,427.887486
2016,Mechanical recycling,PVC,Other,Central,405.9768704969483
2017,Mechanical recycling,PVC,Other,Central,376.1205938985892
2018,Mechanical recycling,PVC,Other,Central,443.6225796216941
2019,Mechanical recycling,PVC,Other,Central,501.5487600852675
2020,Mechanical recycling,PVC,Other,Central,518.2637139148886
2021,Mechanical recycling,PVC,Other,Central,477.38288153962327
2022,Mechanical recycling,PVC,Other,Central,573.1674223869363
2023,Mechanical recycling,PVC,Other,Central,321.0406448076587
2024,Mechanical recycling,PVC,Other,Central,555.204620858934
2025,Mechanical recycling,PVC,Other,Central,924.9171369804448
2026,Mechanical recycling,PVC,Other,Central,293.55044643026986
2027,Mechanical recycling,PVC,Other,Central,318.10209958381824
2028,Mechanical recycling,PVC,Other,Central,320.01326354935736
2029,Mechanical recycling,PVC,Other,Central,321.58776449401137
2030,Mechanical recycling,PVC,Other,Central,322.7957078168363
2031,Mechanical recycling,PVC,Other,Central,323.63000160367335
2032,Mechanical recycling,PVC,Other,Central,324.41450185551423
2033,Mechanical recycling,PVC,Other,Central,325.1489615349064
2034,Mechanical recycling,PVC,Other,Central,325.83420556618603
2035,Mechanical recycling,PVC,Other,Central,326.4719567899995
2036,Mechanical recycling,PVC,Other,Central,327.06282634155025
2037,Mechanical recycling,PVC,Other,Central,327.6084935986152
2038,Mechanical recycling,PVC,Other,Central,328.11199669721253
2039,Mechanical recycling,PVC,Other,Central,328.58182505795224
2040,Mechanical recycling,PVC,Other,Central,329.02697096557495
2041,Mechanical recycling,PVC,Other,Central,329.4511780870337
2042,Mechanical recycling,PVC,Other,Central,329.8570274832404
2014,Mechanical recycling,PVC,PTT,Central,1854.0
2015,Mechanical recycling,PVC,PTT,Central,1854.9935713
2016,Mechanical recycling,PVC,PTT,Central,1759.5313242109214
2017,Mechanical recycling,PVC,PTT,Central,1629.8525663676983
2018,Mechanical recycling,PVC,PTT,Central,1968.5000669631029
2019,Mechanical recycling,PVC,PTT,Central,2186.4164923361536
2020,Mechanical recycling,PVC,PTT,Central,2259.2867601012654
2021,Mechanical recycling,PVC,PTT,Central,1446.7582047285161
2022,Mechanical recycling,PVC,PTT,Central,1233.2697542451865
2023,Mechanical recycling,PVC,PTT,Central,1485.522814861772
2024,Mechanical recycling,PVC,PTT,Central,1430.4948312039994
2025,Mechanical recycling,PVC,PTT,Central,9.29803902789422
2026,Mechanical recycling,PVC,PTT,Central,0.05578823416736611
2027,Mechanical recycling,PVC,PTT,Central,0.00033472940500419573
2028,Mechanical recycling,PVC,PTT,Central,2.0083764300251835e-06
2029,Mechanical recycling,PVC,PTT,Central,1.2050258580151118e-08
2030,Mechanical recycling,PVC,PTT,Central,7.230155148090634e-11
2031,Mechanical recycling,PVC,PTT,Central,4.3380930888543575e-13
2032,Mechanical recycling,PVC,PTT,Central,2.6028558533127155e-15
2033,Mechanical recycling,PVC,PTT,Central,1.5617135119875864e-17
2034,Mechanical recycling,PVC,PTT,Central,9.370281071925513e-20
2035,Mechanical recycling,PVC,PTT,Central,5.622168643155391e-22
2036,Mechanical recycling,PVC,PTT,Central,3.373301185893239e-24
2037,Mechanical recycling,PVC,PTT,Central,2.0239807115359405e-26
2038,Mechanical recycling,PVC,PTT,Central,1.2143884269215719e-28
2039,Mechanical recycling,PVC,PTT,Central,7.286330561529234e-31
2040,Mechanical recycling,PVC,PTT,Central,4.371798336917672e-33
2041,Mechanical recycling,PVC,PTT,Central,2.623079002150523e-35
2042,Mechanical recycling,PVC,PTT,Central,1.5738474012903573e-37
2014,sent for sorting,PP,Other,Central,32334.405995999998
2015,sent for sorting,PP,Other,Central,33410.820829175995
2016,sent for sorting,PP,Other,Central,37903.817804763734
2017,sent for sorting,PP,Other,Central,38955.15749894245
2018,sent for sorting,PP,Other,Central,36033.76624773038
2019,sent for sorting,PP,Other,Central,37036.929308447405
2020,sent for sorting,PP,Other,Central,44974.73738893219
2021,sent for sorting,PP,Other,Central,43660.12629802131
2022,sent for sorting,PP,Other,Central,47107.04613883531
2023,sent for sorting,PP,Other,Central,54589.325250949325
2024,sent for sorting,PP,Other,Central,63521.69593734167
2025,sent for sorting,PP,Other,Central,72995.08482430653
2026,sent for sorting,PP,Other,Central,33387.32992504379
2027,sent for sorting,PP,Other,Central,36178.774463567395
2028,sent for sorting,PP,Other,Central,36397.303544680595
2029,sent for sorting,PP,Other,Central,36576.38229857924
2030,sent for sorting,PP,Other,Central,36713.77000052322
2031,sent for sorting,PP,Other,Central,36808.659953701135
2032,sent for sorting,PP,Other,Central,36897.88655417447
2033,sent for sorting,PP,Other,Central,36981.42170025527
2034,sent for sorting,PP,Other,Central,37059.35919035413
2035,sent for sorting,PP,Other,Central,37131.895020427095
2036,sent for sorting,PP,Other,Central,37199.09866496791
2037,sent for sorting,PP,Other,Central,37261.161157657516
2038,sent for sorting,PP,Other,Central,37318.4279998085
2039,sent for sorting,PP,Other,Central,37371.86482787776
2040,sent for sorting,PP,Other,Central,37422.49430703889
2041,sent for sorting,PP,Other,Central,37470.7422984243
2042,sent for sorting,PP,Other,Central,37516.90234168809
2014,sent for sorting,PP,PTT,Central,66207.34671299999
2015,sent for sorting,PP,PTT,Central,68513.936743476
2016,sent for sorting,PP,PTT,Central,77726.93707532475
2017,sent for sorting,PP,PTT,Central,79882.84871754305
2018,sent for sorting,PP,PTT,Central,73892.02701168334
2019,sent for sorting,PP,PTT,Central,75949.14618978964
2020,sent for sorting,PP,PTT,Central,92226.67668180254
2021,sent for sorting,PP,PTT,Central,89530.89191278232
2022,sent for sorting,PP,PTT,Central,95991.73713659061
2023,sent for sorting,PP,PTT,Central,110543.42774859171
2024,sent for sorting,PP,PTT,Central,113432.06286567592
2025,sent for sorting,PP,PTT,Central,116649.84722398865
2026,sent for sorting,PP,PTT,Central,129456.29165845679
2027,sent for sorting,PP,PTT,Central,140279.05375223717
2028,sent for sorting,PP,PTT,Central,141132.40133015148
2029,sent for sorting,PP,PTT,Central,141826.78827229634
2030,sent for sorting,PP,PTT,Central,142359.5163182422
2031,sent for sorting,PP,PTT,Central,142727.45694141145
2032,sent for sorting,PP,PTT,Central,143073.43767193236
2033,sent for sorting,PP,PTT,Central,143397.3494538353
2034,sent for sorting,PP,PTT,Central,143699.55602618633
2035,sent for sorting,PP,PTT,Central,143980.81746223493
2036,sent for sorting,PP,PTT,Central,144241.40300723183
2037,sent for sorting,PP,PTT,Central,144482.05344011364
2038,sent for sorting,PP,PTT,Central,144704.1085526423
2039,sent for sorting,PP,PTT,Central,144911.3126120701
2040,sent for sorting,PP,PTT,Central,145107.6310148323
2041,sent for sorting,PP,PTT,Central,145294.71503470693
2042,sent for sorting,PP,PTT,Central,145473.7029408116
2014,littering,LDPE,Bottle,Central,0.0
2015,littering,LDPE,Bottle,Central,0.0
2016,littering,LDPE,Bottle,Central,0.0
2017,littering,LDPE,Bottle,Central,0.0
2018,littering,LDPE,Bottle,Central,0.0
2019,littering,LDPE,Bottle,Central,0.0
2020,littering,LDPE,Bottle,Central,0.0
2021,littering,LDPE,Bottle,Central,0.0
2022,littering,LDPE,Bottle,Central,22.104796984
2023,littering,LDPE,Bottle,Central,45.19157129809601
2024,littering,LDPE,Bottle,Central,42.88118117221142
2025,littering,LDPE,Bottle,Central,46.50272559296673
2026,littering,LDPE,Bottle,Central,46.765302326442196
2027,littering,LDPE,Bottle,Central,46.995067866041346
2028,littering,LDPE,Bottle,Central,47.171261632803756
2029,littering,LDPE,Bottle,Central,47.29284755020318
2030,littering,LDPE,Bottle,Central,47.40744279469878
2031,littering,LDPE,Bottle,Central,47.51472538323182
2032,littering,LDPE,Bottle,Central,47.61481680770062
2033,littering,LDPE,Bottle,Central,47.70796961915379
2034,littering,LDPE,Bottle,Central,47.79427214228508
2035,littering,LDPE,Bottle,Central,47.873970727146286
2036,littering,LDPE,Bottle,Central,47.94751053563712
2037,littering,LDPE,Bottle,Central,48.01613693678619
2038,littering,LDPE,Bottle,Central,48.081164418379274
2039,littering,LDPE,Bottle,Central,48.143135413489716
2040,littering,LDPE,Bottle,Central,48.20242606751906
2041,littering,LDPE,Bottle,Central,48.25925448359489
2042,littering,LDPE,Bottle,Central,48.31336327309843
2014,littering,LDPE,PTT,Central,37.65972
2015,littering,LDPE,PTT,Central,37.43376168
2016,littering,LDPE,PTT,Central,37.43514648368168
2017,littering,LDPE,PTT,Central,38.112963337097916
2018,littering,LDPE,PTT,Central,38.108896435977414
2019,littering,LDPE,PTT,Central,38.10892083738414
2020,littering,LDPE,PTT,Central,40.425672794975696
2021,littering,LDPE,PTT,Central,42.97422916323015
2022,littering,LDPE,PTT,Central,486.04768822502064
2023,littering,LDPE,PTT,Central,948.8919158706497
2024,littering,LDPE,PTT,Central,-5.6933514952237605
2025,littering,LDPE,PTT,Central,0.034160108971342425
2026,littering,LDPE,PTT,Central,-0.00020496065382805462
2027,littering,LDPE,PTT,Central,1.2297639229683078e-06
2028,littering,LDPE,PTT,Central,-7.378583537809866e-09
2029,littering,LDPE,PTT,Central,4.427150122685872e-11
2030,littering,LDPE,PTT,Central,-2.6562900736115113e-13
2031,littering,LDPE,PTT,Central,1.5937740441669068e-15
2032,littering,LDPE,PTT,Central,-9.562644265001542e-18
2033,littering,LDPE,PTT,Central,5.73758655900097e-20
2034,littering,LDPE,PTT,Central,-3.4425519354005373e-22
2035,littering,LDPE,PTT,Central,2.06553116124035e-24
2036,littering,LDPE,PTT,Central,-1.2393186967442202e-26
2037,littering,LDPE,PTT,Central,7.435912180465392e-29
2038,littering,LDPE,PTT,Central,-4.461547308279281e-31
2039,littering,LDPE,PTT,Central,2.676928384967587e-33
2040,littering,LDPE,PTT,Central,-1.606157030980501e-35
2041,littering,LDPE,PTT,Central,9.636942185883168e-38
2042,littering,LDPE,PTT,Central,-5.782165311529932e-40
2014,littering,Other,Bottle,Central,0.0
2015,littering,Other,Bottle,Central,0.0
2016,littering,Other,Bottle,Central,0.0
2017,littering,Other,Bottle,Central,0.0
2018,littering,Other,Bottle,Central,0.0
2019,littering,Other,Bottle,Central,0.0
2020,littering,Other,Bottle,Central,20.327163152
2021,littering,Other,Bottle,Central,43.09482022108801
2022,littering,Other,Bottle,Central,21.846228062673475
2023,littering,Other,Bottle,Central,-0.1310773683760408
2024,littering,Other,Bottle,Central,43.15311706421026
2025,littering,Other,Bottle,Central,46.50109397761474
2026,littering,Other,Bottle,Central,46.76531211613431
2027,littering,Other,Bottle,Central,46.995067807303194
2028,littering,Other,Bottle,Central,47.171261633156185
2029,littering,Other,Bottle,Central,47.29284755020107
2030,littering,Other,Bottle,Central,47.40744279469881
2031,littering,Other,Bottle,Central,47.514725383231806
2032,littering,Other,Bottle,Central,47.61481680770062
2033,littering,Other,Bottle,Central,47.70796961915379
2034,littering,Other,Bottle,Central,47.79427214228508
2035,littering,Other,Bottle,Central,47.873970727146286
2036,littering,Other,Bottle,Central,47.94751053563712
2037,littering,Other,Bottle,Central,48.01613693678619
2038,littering,Other,Bottle,Central,48.081164418379274
2039,littering,Other,Bottle,Central,48.143135413489716
2040,littering,Other,Bottle,Central,48.20242606751906
2041,littering,Other,Bottle,Central,48.25925448359489
2042,littering,Other,Bottle,Central,48.31336327309843
